Temperature - (Celsius),Year,Month,Country,ISO3,Rainfall - (MM),TFP
28.2, 1991, Jan, Australia, AUS,127.4,134
27.9, 1991, Feb, Australia, AUS,118.3,134
25.7, 1991, Mar, Australia, AUS,18.7,134
22.2, 1991, Apr, Australia, AUS,15.4,134
18.4, 1991, May, Australia, AUS,17.5,134
16.6, 1991, Jun, Australia, AUS,35.5,134
14.5, 1991, Jul, Australia, AUS,25.6,134
16.1, 1991, Aug, Australia, AUS,13.2,134
19.5, 1991, Sep, Australia, AUS,11.9,134
24.1, 1991, Oct, Australia, AUS,8.4,134
25.3, 1991, Nov, Australia, AUS,31.0,134
26.8, 1991, Dec, Australia, AUS,43.0,134
27.5, 1992, Jan, Australia, AUS,42.5,148
27.4, 1992, Feb, Australia, AUS,85.4,148
26.4, 1992, Mar, Australia, AUS,36.9,148
22.7, 1992, Apr, Australia, AUS,37.1,148
18.3, 1992, May, Australia, AUS,39.2,148
15.1, 1992, Jun, Australia, AUS,22.4,148
14.7, 1992, Jul, Australia, AUS,11.7,148
15.9, 1992, Aug, Australia, AUS,30.7,148
18.6, 1992, Sep, Australia, AUS,30.2,148
21.9, 1992, Oct, Australia, AUS,29.6,148
23.8, 1992, Nov, Australia, AUS,32.7,148
26.3, 1992, Dec, Australia, AUS,59.6,148
28.3, 1993, Jan, Australia, AUS,86.7,157
26.9, 1993, Feb, Australia, AUS,101.8,157
25.5, 1993, Mar, Australia, AUS,30.7,157
23.1, 1993, Apr, Australia, AUS,10.2,157
18.6, 1993, May, Australia, AUS,31.7,157
14.8, 1993, Jun, Australia, AUS,25.6,157
15.0, 1993, Jul, Australia, AUS,30.8,157
16.4, 1993, Aug, Australia, AUS,21.0,157
19.0, 1993, Sep, Australia, AUS,26.9,157
21.8, 1993, Oct, Australia, AUS,29.9,157
25.6, 1993, Nov, Australia, AUS,33.9,157
26.4, 1993, Dec, Australia, AUS,64.2,157
28.5, 1994, Jan, Australia, AUS,44.2,126
27.0, 1994, Feb, Australia, AUS,100.8,126
24.7, 1994, Mar, Australia, AUS,50.2,126
21.9, 1994, Apr, Australia, AUS,10.4,126
18.3, 1994, May, Australia, AUS,12.6,126
15.0, 1994, Jun, Australia, AUS,18.4,126
14.5, 1994, Jul, Australia, AUS,9.4,126
15.4, 1994, Aug, Australia, AUS,9.8,126
19.2, 1994, Sep, Australia, AUS,7.7,126
23.0, 1994, Oct, Australia, AUS,14.2,126
25.4, 1994, Nov, Australia, AUS,25.4,126
27.9, 1994, Dec, Australia, AUS,45.2,126
28.0, 1995, Jan, Australia, AUS,104.0,157
26.6, 1995, Feb, Australia, AUS,94.6,157
24.8, 1995, Mar, Australia, AUS,55.6,157
21.1, 1995, Apr, Australia, AUS,26.9,157
17.5, 1995, May, Australia, AUS,32.5,157
15.2, 1995, Jun, Australia, AUS,27.7,157
14.4, 1995, Jul, Australia, AUS,23.6,157
16.9, 1995, Aug, Australia, AUS,10.7,157
20.0, 1995, Sep, Australia, AUS,18.6,157
22.4, 1995, Oct, Australia, AUS,28.6,157
25.5, 1995, Nov, Australia, AUS,41.8,157
26.4, 1995, Dec, Australia, AUS,55.2,157
27.8, 1996, Jan, Australia, AUS,75.6,167
27.4, 1996, Feb, Australia, AUS,44.3,167
25.4, 1996, Mar, Australia, AUS,61.5,167
21.6, 1996, Apr, Australia, AUS,36.7,167
18.3, 1996, May, Australia, AUS,22.2,167
16.8, 1996, Jun, Australia, AUS,28.5,167
14.8, 1996, Jul, Australia, AUS,38.1,167
16.3, 1996, Aug, Australia, AUS,24.4,167
19.5, 1996, Sep, Australia, AUS,24.0,167
22.9, 1996, Oct, Australia, AUS,26.5,167
25.1, 1996, Nov, Australia, AUS,23.0,167
26.8, 1996, Dec, Australia, AUS,68.5,167
27.3, 1997, Jan, Australia, AUS,113.8,156
27.9, 1997, Feb, Australia, AUS,112.0,156
24.6, 1997, Mar, Australia, AUS,43.9,156
21.9, 1997, Apr, Australia, AUS,12.8,156
17.7, 1997, May, Australia, AUS,40.6,156
14.8, 1997, Jun, Australia, AUS,14.3,156
13.4, 1997, Jul, Australia, AUS,13.0,156
15.6, 1997, Aug, Australia, AUS,19.0,156
19.9, 1997, Sep, Australia, AUS,27.7,156
23.0, 1997, Oct, Australia, AUS,22.6,156
25.7, 1997, Nov, Australia, AUS,29.3,156
27.8, 1997, Dec, Australia, AUS,70.2,156
28.5, 1998, Jan, Australia, AUS,77.5,165
28.3, 1998, Feb, Australia, AUS,68.7,165
