Rainfall - (MM), Year, Statistics, Country, ISO3
127.4, 1991, Jan Average, Australia, AUS
118.3, 1991, Feb Average, Australia, AUS
18.7, 1991, Mar Average, Australia, AUS
15.4, 1991, Apr Average, Australia, AUS
17.5, 1991, May Average, Australia, AUS
35.5, 1991, Jun Average, Australia, AUS
25.6, 1991, Jul Average, Australia, AUS
13.2, 1991, Aug Average, Australia, AUS
11.9, 1991, Sep Average, Australia, AUS
8.4, 1991, Oct Average, Australia, AUS
31.0, 1991, Nov Average, Australia, AUS
43.0, 1991, Dec Average, Australia, AUS
42.5, 1992, Jan Average, Australia, AUS
85.4, 1992, Feb Average, Australia, AUS
36.9, 1992, Mar Average, Australia, AUS
37.1, 1992, Apr Average, Australia, AUS
39.2, 1992, May Average, Australia, AUS
22.4, 1992, Jun Average, Australia, AUS
11.7, 1992, Jul Average, Australia, AUS
30.7, 1992, Aug Average, Australia, AUS
30.2, 1992, Sep Average, Australia, AUS
29.6, 1992, Oct Average, Australia, AUS
32.7, 1992, Nov Average, Australia, AUS
59.6, 1992, Dec Average, Australia, AUS
86.7, 1993, Jan Average, Australia, AUS
101.8, 1993, Feb Average, Australia, AUS
30.7, 1993, Mar Average, Australia, AUS
10.2, 1993, Apr Average, Australia, AUS
31.7, 1993, May Average, Australia, AUS
25.6, 1993, Jun Average, Australia, AUS
30.8, 1993, Jul Average, Australia, AUS
21.0, 1993, Aug Average, Australia, AUS
26.9, 1993, Sep Average, Australia, AUS
29.9, 1993, Oct Average, Australia, AUS
33.9, 1993, Nov Average, Australia, AUS
64.2, 1993, Dec Average, Australia, AUS
44.2, 1994, Jan Average, Australia, AUS
100.8, 1994, Feb Average, Australia, AUS
50.2, 1994, Mar Average, Australia, AUS
10.4, 1994, Apr Average, Australia, AUS
12.6, 1994, May Average, Australia, AUS
18.4, 1994, Jun Average, Australia, AUS
9.4, 1994, Jul Average, Australia, AUS
9.8, 1994, Aug Average, Australia, AUS
7.7, 1994, Sep Average, Australia, AUS
