Temperature - (Celsius),Year,Month,Country,ISO3,Rainfall - (MM)
28.3, 2011, Jan, Australia, AUS,100.0
26.6, 2011, Feb, Australia, AUS,97.6
24.1, 2011, Mar, Australia, AUS,100.6
21.3, 2011, Apr, Australia, AUS,28.5
16.6, 2011, May, Australia, AUS,20.4
14.3, 2011, Jun, Australia, AUS,20.5
14.5, 2011, Jul, Australia, AUS,21.8
16.7, 2011, Aug, Australia, AUS,18.7
19.1, 2011, Sep, Australia, AUS,14.8
22.8, 2011, Oct, Australia, AUS,29.2
25.4, 2011, Nov, Australia, AUS,43.3
26.5, 2011, Dec, Australia, AUS,62.3
27.9, 2012, Jan, Australia, AUS,95.4
26.7, 2012, Feb, Australia, AUS,77.6
24.3, 2012, Mar, Australia, AUS,88.4
21.9, 2012, Apr, Australia, AUS,24.3
17.3, 2012, May, Australia, AUS,21.0
14.4, 2012, Jun, Australia, AUS,27.8
13.6, 2012, Jul, Australia, AUS,19.1
16.0, 2012, Aug, Australia, AUS,11.6
20.0, 2012, Sep, Australia, AUS,12.7
23.2, 2012, Oct, Australia, AUS,14.0
26.4, 2012, Nov, Australia, AUS,29.2
28.0, 2012, Dec, Australia, AUS,43.9
29.4, 2013, Jan, Australia, AUS,71.7
27.8, 2013, Feb, Australia, AUS,67.9
26.0, 2013, Mar, Australia, AUS,65.3
22.9, 2013, Apr, Australia, AUS,22.2
18.8, 2013, May, Australia, AUS,31.8
15.5, 2013, Jun, Australia, AUS,28.0
15.3, 2013, Jul, Australia, AUS,21.9
17.3, 2013, Aug, Australia, AUS,12.4
21.3, 2013, Sep, Australia, AUS,17.9
23.8, 2013, Oct, Australia, AUS,15.2
25.6, 2013, Nov, Australia, AUS,42.2
27.5, 2013, Dec, Australia, AUS,43.5
28.8, 2014, Jan, Australia, AUS,84.2
27.3, 2014, Feb, Australia, AUS,85.8
26.2, 2014, Mar, Australia, AUS,53.8
22.9, 2014, Apr, Australia, AUS,41.9
19.5, 2014, May, Australia, AUS,23.4
15.3, 2014, Jun, Australia, AUS,19.5
14.4, 2014, Jul, Australia, AUS,16.9
15.9, 2014, Aug, Australia, AUS,21.7
20.1, 2014, Sep, Australia, AUS,13.6
24.3, 2014, Oct, Australia, AUS,14.1
26.8, 2014, Nov, Australia, AUS,29.5
27.8, 2014, Dec, Australia, AUS,52.4
27.8, 2015, Jan, Australia, AUS,103.9
28.8, 2015, Feb, Australia, AUS,62.7
26.0, 2015, Mar, Australia, AUS,48.2
21.2, 2015, Apr, Australia, AUS,31.0
17.7, 2015, May, Australia, AUS,25.9
16.1, 2015, Jun, Australia, AUS,20.9
14.4, 2015, Jul, Australia, AUS,18.5
16.3, 2015, Aug, Australia, AUS,20.5
19.2, 2015, Sep, Australia, AUS,11.3
24.6, 2015, Oct, Australia, AUS,13.9
26.9, 2015, Nov, Australia, AUS,37.9
27.9, 2015, Dec, Australia, AUS,52.4
28.3, 2016, Jan, Australia, AUS,81.3
28.2, 2016, Feb, Australia, AUS,56.5
26.9, 2016, Mar, Australia, AUS,68.8
23.7, 2016, Apr, Australia, AUS,21.2
19.6, 2016, May, Australia, AUS,31.5
16.0, 2016, Jun, Australia, AUS,40.9
14.8, 2016, Jul, Australia, AUS,31.5
16.1, 2016, Aug, Australia, AUS,23.0
18.8, 2016, Sep, Australia, AUS,29.2
22.0, 2016, Oct, Australia, AUS,24.1
25.7, 2016, Nov, Australia, AUS,29.0
27.5, 2016, Dec, Australia, AUS,59.0
28.5, 2017, Jan, Australia, AUS,98.2
27.7, 2017, Feb, Australia, AUS,76.4
26.8, 2017, Mar, Australia, AUS,71.2
21.9, 2017, Apr, Australia, AUS,30.1
18.5, 2017, May, Australia, AUS,20.6
15.2, 2017, Jun, Australia, AUS,13.5
15.5, 2017, Jul, Australia, AUS,15.0
16.7, 2017, Aug, Australia, AUS,16.4
20.1, 2017, Sep, Australia, AUS,12.5
23.8, 2017, Oct, Australia, AUS,29.1
25.8, 2017, Nov, Australia, AUS,34.9
28.0, 2017, Dec, Australia, AUS,49.0
29.0, 2018, Jan, Australia, AUS,86.7
27.9, 2018, Feb, Australia, AUS,78.8
